wavenumber,theta
305.4729037607922,11.0
337.0653271221272,11.5
368.4944801649872,12.0
393.609036210215,12.5
412.48640154720124,13.0
431.15933283448794,13.5
468.33265153885077,14.0
511.60476658594416,14.5
554.5667391356274,15.0
579.0596762272617,15.5
603.4523781198695,16.0
657.832409644263,16.5
717.9675994108984,17.0
777.3577164292819,17.5
848.1118115190566,18.0
912.3802129804517,18.5
923.9161891532094,19.0
964.3779992617201,19.5
1016.0430878063344,20.0
1050.361236103001,21.0
1072.9957034463841,21.5
1123.9534037131416,22.5
1163.1598040994013,23.5
1224.3902714039268,24.0
1252.0386929868964,24.5
1274.1356084418494,25.0
1301.5409079710626,25.5
1383.2069724525863,27.0
1410.205937475741,27.5
1426.293408929836,28.0
1453.2057796827357,32.0
1501.1988693232452,32.5
1548.7767483627922,33.0
1653.4248061174694,37.0
1705.060667559048,37.5
1766.4706008629746,38.5
1812.1285964687268,39.0
1882.598078250252,41.0
1907.5651169934445,42.0
0.0,11.0
75.0,11.0
150.0,11.0
225.0,11.0
300.0,11.0
2096.5706303107963,44.5
2196.5706303107963,44.5
2296.5706303107963,44.5
2396.5706303107963,44.5
2496.5706303107963,44.5
2596.5706303107963,44.5
2696.5706303107963,44.5
2796.5706303107963,44.5
2896.5706303107963,44.5
2996.5706303107963,44.5
3096.5706303107963,44.5
3196.5706303107963,44.5
3296.5706303107963,44.5
3396.5706303107963,44.5
3496.5706303107963,44.5
3596.5706303107963,44.5
3696.5706303107963,44.5
3796.5706303107963,44.5
3896.5706303107963,44.5
3996.5706303107963,44.5
4096.570630310796,44.5
4196.570630310796,44.5
4296.570630310796,44.5
4396.570630310796,44.5
4496.570630310796,44.5
4596.570630310796,44.5
4696.570630310796,44.5
4796.570630310796,44.5
4896.570630310796,44.5
4996.570630310796,44.5
