wavenumber,theta
0.937429693,8
33.96993194,9.5
73.31742718,5.5
93.05210918,6
138.6021731,7
170.9119826,7.5
183.9706879,8
228.8568203,8.5
260.8469494,9
273.7159345,9.5
318.0998672,10
330.7007083,10.5
374.8196379,11
399.9080393,11.5
449.7746608,12
474.5541566,12.5
505.4215495,13
566.8257757,13.5
591.2685181,14.5
627.6045068,15
706.01729,15.5
783.4010943,16.5
894.8983973,17
918.1510736,17.5
935.5629568,18
1016.043088,19
1027.505306,20
1090.075648,21
1146.427031,21.5
1168.812038,25.5
1196.605591,23.5
1274.135608,35
1279.677752,36
1323.443944,37
1339.783938,27
1421.017937,27.5
1575.097778,28.5
1606.516482,29.5
1642.943999,30.5
1715.305638,31.5
1746.039854,32.5
1802.066841,33.5
1817.15238,35
1832.309235,36
1877.522838,38
1907.565117,38.5
1912.499603,40
1922.466681,43
2016.171306,43.5
2055.154009,45
2175.500996,36
2213.521576,37
2232.532471,43
2326.232043,43.5
2335.539021,43
2349.467605,43.5
